sample_index,Age_months,y_observed,y_fitted,residual,H_factor_01,H_factor_02,H_factor_03,H_factor_04,H_factor_05
863,9,0.047079916795947,-0.2031879,0.2502679,0.02718896,0.02462237,0.01657534,-0.01319226,0.04112624
864,72,0.36237512187704,0.06709367,0.2952814,-0.01977231,-0.02672755,-0.0277766,0.02289849,-0.02669478
865,48,0.510630685604079,-0.4126155,0.9232462,0.0211943,-0.02816188,-0.03772891,0.04985672,0.04417439
866,3,0.221726531884433,-0.1136904,0.3354169,0.02608644,-0.03628223,0.01142854,-0.02481257,0.02247116
867,3,0.233800165805312,-0.08318943,0.3169896,0.03099154,0.0203061,0.02260777,-0.0555867,-0.03165291
868,9,-0.554974101514018,-0.2524989,-0.3024752,0.02450794,0.02430908,-0.009520547,-0.04086738,0.01368304
869,9,-0.634611254630341,-0.04922029,-0.585391,0.02157031,-0.03237619,0.03938956,0.04372311,0.05992867
870,72,-1.32312646718445,0.4227264,-1.745853,-0.06577871,0.03186474,-0.01523063,-0.01441155,0.01161098
871,3,-0.192661968429788,-0.0822136,-0.1104484,0.01665124,-0.03521787,-0.0003014819,-0.02941451,0.01447521
872,9,-0.35567861827634,-0.2387992,-0.1168794,0.02801709,0.02791247,0.009918959,-0.00613887,0.02827223
873,9,-0.354503453381397,-0.2553873,-0.09911618,0.02917946,0.02781269,-0.0004691977,-0.01957913,-0.0004085631
874,48,-0.702237537591095,0.03929546,-0.741533,-0.007455465,0.03022003,0.005047751,0.002302308,0.006037402
875,72,-0.333125306429241,-0.1367674,-0.1963579,-0.0001799984,0.04002884,-0.01745389,0.03265952,-0.02341643
876,72,-0.346727221858,-0.1575716,-0.1891556,-0.005996391,0.03509343,-0.03544795,0.01891822,-0.02364666
877,72,-0.540650453814687,-0.2615197,-0.2791307,0.007210044,0.03343544,-0.03999785,0.006946525,-0.03528411
878,48,0.747270324672716,0.09258325,0.654687,-0.007963066,-0.03019704,-0.001239535,0.009586257,-0.005101487
879,9,0.198440949271197,-0.07236207,0.270803,0.004803615,-0.03300892,-0.01609605,-0.01722893,0.01105941
880,48,-0.36471383947307,0.1333738,-0.4980877,-0.01105087,-0.02918068,0.0171406,0.03674186,0.03894408
