rank,CpG_index,importance,importance_scaled,loading_V_factor_01,loading_V_factor_02,loading_V_factor_03,loading_V_factor_04,loading_V_factor_05,importance_component_factor_01,importance_component_factor_02,importance_component_factor_03,importance_component_factor_04,importance_component_factor_05
67,15866,782.6577,3.801643e-05,-0.0006331244,0.01847806,-0.002026264,-0.00173459,0.001216197,5.41959,760.8416,7.412136,8.883267,0.1010577
68,94443,782.6115,3.801418e-05,-0.0006676494,0.01841237,-0.001644824,-0.0023393,0.001225543,6.026777,755.4413,4.884162,16.15664,0.1026169
69,813732,782.347,3.800134e-05,0.0006193802,-0.0184748,0.001755913,0.001931534,-0.0002872305,5.186841,760.5734,5.566181,11.01499,0.00563667
70,71770,782.1695,3.799272e-05,-0.0006128966,0.01846258,-0.001796584,-0.001980821,0.001279682,5.078819,759.5674,5.827021,11.5843,0.1118834
71,756108,781.8834,3.797882e-05,0.0006080837,-0.01845651,0.001928688,0.001938758,-0.0002055152,4.999367,759.0682,6.715454,11.09753,0.002885689
72,126697,780.2823,3.790105e-05,-0.0007089514,0.01837282,-0.001751986,-0.002287918,0.002062948,6.795497,752.2001,5.541311,15.45469,0.2907624
73,43888,780.1833,3.789624e-05,-0.0006052257,0.01849174,-0.001843753,-0.001548797,0.0007934618,4.952484,761.9685,6.137007,7.082199,0.04301437
74,39128,778.058,3.779301e-05,-0.0006258804,0.01842994,-0.001782636,-0.001843259,0.00126773,5.296281,756.8839,5.736893,10.03118,0.1098033
75,47453,776.5005,3.771735e-05,-0.0006395146,0.01835565,-0.001843566,-0.002170966,0.001353897,5.529543,750.7949,6.135768,13.91507,0.1252371
76,136203,774.2051,3.760586e-05,-0.0006019271,0.01839495,-0.001917794,-0.00170231,0.001196395,4.898646,754.0132,6.639802,8.555717,0.09779373
77,101614,773.6886,3.758077e-05,-0.0005855563,0.01849884,-0.001619273,-0.0007713407,-0.0003585184,4.63581,762.5538,4.733602,1.756595,0.008781818
78,45001,772.2771,3.751221e-05,-0.0005414284,0.0184555,-0.00184398,-0.001035982,0.0005655992,3.963422,758.9846,6.138524,3.168719,0.02185642
79,19201,771.1907,3.745943e-05,-0.0006251938,0.01832863,-0.001888759,-0.001911855,0.001136576,5.284666,748.5858,6.440275,10.79169,0.08825891
80,286788,770.5067,3.742621e-05,0.0005701463,-0.01833986,0.001902623,0.001846522,-0.0002987453,4.39502,749.5037,6.53517,10.06673,0.006097667
81,122030,769.9521,3.739927e-05,-0.0006423409,0.01833801,-0.001532798,-0.001904247,0.00104077,5.578525,749.3521,4.241518,10.70597,0.07400664
82,117039,769.9256,3.739799e-05,-0.0006146706,0.01829731,-0.002363754,-0.001699464,0.001593354,5.108261,746.0298,10.08686,8.527134,0.1734548
83,854856,768.9855,3.735233e-05,0.00063321,-0.01827836,0.00183721,0.002096007,-0.0004702877,5.421055,744.485,6.093533,12.97074,0.01511084
84,29886,767.4211,3.727634e-05,-0.0005203625,0.01835545,-0.001279416,-0.001841629,0.0004378333,3.661004,750.7784,2.955118,10.01344,0.01309722
85,77281,765.6033,3.718804e-05,-0.0006190545,0.01830925,-0.001698798,-0.001663116,0.000782745,5.181386,747.0038,5.209966,8.166279,0.04186028
86,232553,763.9158,3.710607e-05,0.0006479739,-0.01821725,0.001761704,0.002108114,4.414992e-05,5.676795,739.5148,5.602959,13.12101,0.0001331746
87,452735,763.7208,3.70966e-05,0.0006223945,-0.01821838,0.001575116,0.002207271,-0.0004379157,5.237448,739.6069,4.478954,14.38436,0.01310215
88,429262,762.4237,3.703359e-05,0.000593369,-0.01825087,0.001829076,0.001782033,-0.0001009275,4.76034,742.2472,6.039692,9.375854,0.0006959536
89,52825,762.0617,3.701601e-05,-0.0006061504,0.01824499,-0.002094196,-0.001572027,0.001276083,4.967628,741.7691,7.917464,7.296245,0.111255
90,51930,761.856,3.700602e-05,-0.0006517512,0.01819902,-0.002001777,-0.001902792,0.001495809,5.743174,738.0362,7.234071,10.68961,0.1528671
91,108458,761.8409,3.700529e-05,-0.0005963668,0.01828874,-0.00180698,-0.001401468,0.000338036,4.808562,745.331,5.894649,5.7989,0.007807057
92,33711,760.501,3.69402e-05,-0.000640938,0.0182031,-0.002469573,-0.001369857,0.000652705,5.554184,738.3672,11.0102,5.540257,0.02910687
93,46661,760.0256,3.691711e-05,-0.000581442,0.01828677,-0.001690729,-0.001316971,0.0002188286,4.570894,745.1701,5.160591,5.120727,0.003271673
94,92447,759.1204,3.687314e-05,-0.0005997237,0.01827913,-0.001974337,-0.0009505184,0.000268963,4.862847,744.548,7.037103,2.667475,0.004942498
95,7087,757.5132,3.679507e-05,-0.0005699381,0.01825639,-0.00187287,-0.001173583,0.0006161933,4.391811,742.6967,6.332373,4.066373,0.02594153
96,244250,755.9236,3.671786e-05,0.0005801395,-0.0181686,0.001924286,0.001757308,-7.071567e-05,4.550437,735.5705,6.684834,9.117484,0.0003416591
97,687698,755.6418,3.670417e-05,0.0006368093,-0.01814154,0.001658253,0.00200013,-0.0001839806,5.482858,733.3811,4.964245,11.81125,0.002312626
98,133466,753.8615,3.66177e-05,-0.0005852478,0.01815428,-0.001856476,-0.001694516,0.001321177,4.630925,734.4118,6.222,8.477557,0.119257
99,432604,753.7824,3.661386e-05,0.0005923458,-0.01814243,0.001492577,0.001978794,-0.0002110182,4.743937,733.4529,4.021838,11.5606,0.003042294
100,59731,753.2576,3.658836e-05,-0.0005668692,0.01814293,-0.001918685,-0.001714832,0.001154862,4.344641,733.4937,6.645973,8.682056,0.09112169
101,104954,750.7386,3.646601e-05,-0.0005135312,0.01817074,-0.002150864,-0.001017408,0.0005554417,3.565511,735.7442,8.351745,3.056114,0.02107844
102,366826,750.7247,3.646533e-05,-0.0007281682,0.01798414,-0.003086688,-0.001339561,0.002254483,7.168885,720.7103,17.20033,5.297904,0.3472607
103,133256,750.2116,3.644041e-05,-0.0005552113,0.01807845,-0.003077869,-0.0004619884,0.0005695826,4.167781,728.2894,17.10218,0.6301464,0.02216537
104,72651,750.1089,3.643542e-05,-0.0005186669,0.01816178,-0.001763752,-0.001399231,0.0009085772,3.637185,735.019,5.615989,5.780401,0.05640079
105,541983,749.6608,3.641366e-05,0.0006154897,-0.01806242,0.001565887,0.002106026,-0.0005257774,5.121885,726.9984,4.42662,13.09503,0.0188871
106,24421,747.0389,3.62863e-05,-0.0006089743,0.01807941,-0.002032347,-0.001444722,0.0007556807,5.014021,728.3668,7.456709,6.162367,0.03901559
107,131853,746.2211,3.624658e-05,-0.0006227592,0.0179693,-0.001464053,-0.002436548,0.0009251144,5.243588,719.5216,3.869588,17.52787,0.05847261
108,6159,745.6617,3.62194e-05,-0.0005865928,0.01808399,-0.00160294,-0.001603477,0.0008009093,4.652236,728.7359,4.638587,7.591104,0.04382564
109,41064,744.9932,3.618693e-05,-0.0006455856,0.01797301,-0.001687588,-0.002197563,0.001429669,5.635027,719.819,5.141433,14.25811,0.1396473
110,614319,744.9351,3.618411e-05,-0.0006249318,0.01797329,-0.001274763,-0.002383011,0.0012909,5.280239,719.8414,2.933662,16.76608,0.1138535
111,15735,744.7867,3.61769e-05,-0.0005015027,0.01812804,-0.001614261,-0.00121675,0.000552405,3.400437,732.29,4.704344,4.371011,0.02084859
