ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0110053,regulation of actin filament organization,17/501,251/18842,0.06772908366533864,2.5472083721004206,4.07843574386311,4.188607623375466e-4,0.040375430861389734,0.04037543086138974,F11R/FLII/EPHA1/LIMK1/SWAP70/RAC1/SMAD3/SYNPO/SVIL/LIMA1/HCK/EPS8/NF2/CX3CL1/CCL24/TGFBR1/TMOD3,17
GO:0071375,cellular response to peptide hormone stimulus,20/501,325/18842,0.06153846153846154,2.3143866113925995,3.9503795659530745,4.697263729536755e-4,0.043928652232406315,0.043928652232406315,POR/SRC/PRKCZ/CACNA2D3/IDE/KLF3/LPIN1/STAT3/PRKCI/PIK3R3/PTPRE/NFE2L2/ZFP36L1/PRKAR1A/SCNN1A/TBC1D4/PRKCQ/JAK3/HDAC5/ADCY3,20
GO:0120193,tight junction organization,8/501,69/18842,0.11594202898550725,4.360438543203448,4.621819651964733,4.7614681362924107e-4,0.043928652232406315,0.043928652232406315,F11R/PECAM1/TBCD/RAC1/MICALL2/ECT2/TGFBR1/PRKCH,8
GO:0070830,bicellular tight junction assembly,7/501,53/18842,0.1320754716981132,4.967197680111475,4.780015173212713,4.819295881729997e-4,0.043928652232406315,0.043928652232406315,F11R/PECAM1/TBCD/RAC1/MICALL2/ECT2/PRKCH,7
GO:2000628,regulation of miRNA metabolic process,9/501,87/18842,0.10344827586206896,3.890563700185835,4.466249379152561,5.044693197054473e-4,0.043928652232406315,0.043928652232406315,NCOR2/STAT3/EGFR/PPARA/SMAD3/PPARD/SPI1/SMAD1/NFIB,9
GO:0035148,tube formation,8/501,70/18842,0.11428571428571428,4.298146564014827,4.569019699805004,5.252975797090472e-4,0.043928652232406315,0.043928652232406315,PIK3CD/FGFR2/EGF/MTHFD1L/SKI/KDM2B/SCRIB/PLXNB2,8
GO:0048705,skeletal system morphogenesis,10/501,106/18842,0.09433962264150944,3.547998342936768,4.347834128942987,5.254640960824784e-4,0.043928652232406315,0.043928652232406315,POR/HOXA3/RARG/FGFR2/ANKRD11/MTHFD1L/SKI/COL5A1/TGFBR1/WWOX,10
GO:0030812,negative regulation of nucleotide catabolic process,4/501,15/18842,0.26666666666666666,10.02900864936793,5.7816855722855385,5.338733938999202e-4,0.043928652232406315,0.043928652232406315,CBFA2T3/PPARA/HDAC4/NUPR1,4
GO:0033122,negative regulation of purine nucleotide catabolic process,4/501,15/18842,0.26666666666666666,10.02900864936793,5.7816855722855385,5.338733938999202e-4,0.043928652232406315,0.043928652232406315,CBFA2T3/PPARA/HDAC4/NUPR1,4
GO:0045820,negative regulation of glycolytic process,4/501,15/18842,0.26666666666666666,10.02900864936793,5.7816855722855385,5.338733938999202e-4,0.043928652232406315,0.043928652232406315,CBFA2T3/PPARA/HDAC4/NUPR1,4
GO:0038127,ERBB signaling pathway,12/501,146/18842,0.0821917808219178,3.091132802887376,4.192209957489397,5.371012847293851e-4,0.043928652232406315,0.043928652232406315,SRC/DGKD/RHBDF1/DGKQ/EGFR/TGFA/AFAP1L2/FBXW7/NRG1/EGF/ERBB2/CBLC,12
GO:0055021,regulation of cardiac muscle tissue growth,7/501,54/18842,0.12962962962962962,4.8752125378871884,4.713152184101611,5.412118654305831e-4,0.043928652232406315,0.043928652232406315,TP73/FGFR2/PPARA/NRG1/RUNX1/YAP1/TGFBR1,7
GO:0007173,epidermal growth factor receptor signaling pathway,11/501,126/18842,0.0873015873015873,3.283306403066882,4.250130655557044,5.462641769125457e-4,0.043928652232406315,0.043928652232406315,SRC/DGKD/RHBDF1/DGKQ/EGFR/TGFA/AFAP1L2/FBXW7/EGF/ERBB2/CBLC,11
GO:0042063,gliogenesis,16/501,234/18842,0.06837606837606838,2.5715406793251105,3.9980022989083275,5.528435825166781e-4,0.043928652232406315,0.043928652232406315,ANO1/LAMB1/STAT3/PRKCI/CDK6/E2F1/ERBB2/NFIB/NF2/CX3CL1/SKI/NCMAP/IL34/SYNE2/CHRM1/PRKCH,16
GO:0048589,developmental growth,22/501,381/18842,0.05774278215223097,2.1716357311623473,3.8184474379178788,5.926033922819429e-4,0.046460105954904324,0.04646010595490432,POR/TP73/RARG/FGFR2/DNM2/EYS/LIMK1/PPARA/NRG1/PPARD/RUNX1/FTO/ITSN2/YAP1/SORBS2/NEDD4L/PSAP/SKI/SEMA3F/TGFBR1/NRN1L/CPQ,22
GO:0035023,regulation of Rho protein signal transduction,9/501,90/18842,0.1,3.7608782435129737,4.339143812683533,6.476377970965573e-4,0.04947808898734108,0.04947808898734109,F11R/STARD13/DOCK9/RAC1/PKP4/ARHGEF16/ARHGEF3/ERBB2/EPS8,9
GO:1902894,negative regulation of miRNA transcription,5/501,27/18842,0.18518518518518517,6.964589339838841,5.125894354108845,6.479273557866094e-4,0.04947808898734108,0.04947808898734109,NCOR2/PPARA/SMAD3/PPARD/NFIB,5
GO:0043085,positive regulation of catalytic activity,18/501,285/18842,0.06315789473684211,2.3752915222187205,3.8665412186813333,6.575214571235399e-4,0.04956700215238993,0.049567002152389926,DOCK9/CARD14/FGFR2/EVI5L/RASGRP2/GCH1/TRAF4/LTBR/ARHGEF16/NRG1/BCAS3/ERBB2/AGAP2/PRKAR1A/RGS10/ECT2/SCRIB/MST1R,18
